business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ahlawat Vegetable Market (New Sbji Mndi),Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,768224,Odisha Circle,Sambalpur Region,Sundargarh Division,"Garposh S.O, Dangajore B.O, Gardega B.O",+91 98024 03200,N/A,3.7,,"X883+HMW, Meham, Mahamrural, Haryana 124112",768224,28.9664783,76.30418949999999,ChIJ2UV0ab1xEjkRpZvJLWtCqFM,https://www.google.com/maps/place/?q=place_id:ChIJ2UV0ab1xEjkRpZvJLWtCqFM,part_354,2026-09-20 20:46:54,56109
Sabji Mandi(Vegetable Market),Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,768227,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kusumi S.O, Badbahal B.O, Banke B.O",N/A,N/A,3.8,149.0,"Akhara, Kullu, Himachal Pradesh 175101",Akhara,31.9646938,77.1142397,ChIJFWq5K6b2BDkRXAWsSYJk-Xg,https://www.google.com/maps/place/?q=place_id:ChIJFWq5K6b2BDkRXAWsSYJk-Xg,part_354,2026-09-20 20:48:50,57214
AKBARI MANDI TARDERS,Wholesale Market / Mandi,Spices Wholesaler,Spices Wholesaler,768228,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kesaibahal S.O, Babu Nikitimal B.O, Baliturei B.O",0321 7534923,N/A,4.1,38.0,"Circular Rd, Akbari Mandi Walled City of Lahore, Lahore, 54000, Pakistan",Akbari Mandi Walled City of Lahore,31.5789442,74.3247318,ChIJsWeTiD8bGTkRTQ6IYF5PnnI,https://www.google.com/maps/place/?q=place_id:ChIJsWeTiD8bGTkRTQ6IYF5PnnI,part_354,2026-09-20 20:49:27,57445
Manoj vegetable company,Wholesale Market / Mandi,Vegetable wholesale market,"Vegetable wholesale market, Service establishment",769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 86585 53653,N/A,5.0,1.0,"Manoj vegetable company, 769001, India",769001,22.213256899999998,84.82415209999999,ChIJa0CbeL4fIDoRw96Dv0-6HAE,https://www.google.com/maps/place/?q=place_id:ChIJa0CbeL4fIDoRw96Dv0-6HAE,part_354,2026-09-20 20:51:20,61026
Jharkhand Market,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.2,45.0,"7V67+GG7, Sector 18, Rourkela, Raurkela Industrialship, Odisha 769005",Sector 18,22.2612886,84.8637893,ChIJ_QhYTgQcIDoR11cv-8Q2a9Q,https://www.google.com/maps/place/?q=place_id:ChIJ_QhYTgQcIDoR11cv-8Q2a9Q,part_354,2026-09-20 20:51:21,61027
Monday And Friday Market,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.4,19.0,"6PFQ+C26, Kanshbahal, Rourkela, Odisha 770031",Kanshbahal,22.2235436,84.737515,ChIJ8yyNxxgXIDoRM1otoMl3wyg,https://www.google.com/maps/place/?q=place_id:ChIJ8yyNxxgXIDoRM1otoMl3wyg,part_354,2026-09-20 20:51:21,61028
VIP Market,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.2,249.0,"C99, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005",Sector 19,22.2591245,84.8701723,ChIJWx1KQRscIDoRcbXClMoeIkE,https://www.google.com/maps/place/?q=place_id:ChIJWx1KQRscIDoRcbXClMoeIkE,part_354,2026-09-20 20:51:21,61029
Friday Market,Wholesale Market / Mandi,Farmers' market,Farmers' market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.1,62.0,"6RR2+F88, Panposh, Rourkela, Odisha 769015",Panposh,22.2411684,84.8008339,ChIJBU3PQo4ZIDoR8k8DNyZRn-Q,https://www.google.com/maps/place/?q=place_id:ChIJBU3PQo4ZIDoR8k8DNyZRn-Q,part_354,2026-09-20 20:51:21,61030
Winter Market Tibbten Market Rourkela,Wholesale Market / Mandi,Clothing store,Clothing store,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.2,268.0,"Tibbten market, near Maa Tarini Pitha, Sector 3, Rourkela, Odisha 769002",Sector 3,22.2464337,84.877991,ChIJr9adpr4eIDoREaK2xo9fBUQ,https://www.google.com/maps/place/?q=place_id:ChIJr9adpr4eIDoREaK2xo9fBUQ,part_354,2026-09-20 20:51:21,61031
Sector 14 Market,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.0,16.0,"7R6M+CW7, Sector 14, Rourkela, Raurkela Industrialship, Odisha 769009",Sector 14,22.2610498,84.8347988,ChIJAQAAdd0bIDoRrJZIDmbEqvE,https://www.google.com/maps/place/?q=place_id:ChIJAQAAdd0bIDoRrJZIDmbEqvE,part_354,2026-09-20 20:51:21,61032
Ispat Haat,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",+91 70087 55385,N/A,4.2,,"Ispat Nehru Park, near, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005",Sector 19,22.2604217,84.8641688,ChIJnbKNUAQcIDoR2kPFkdkqozE,https://www.google.com/maps/place/?q=place_id:ChIJnbKNUAQcIDoR2kPFkdkqozE,part_354,2026-09-20 20:51:21,61033
Suidihi Market,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,3.0,,"5V3G+4P2, Rourkela, Lohadar, Odisha 770037",769001,22.152757299999998,84.8767639,ChIJ3wRm4I0hIDoRmNVGDhFEeTU,https://www.google.com/maps/place/?q=place_id:ChIJ3wRm4I0hIDoRmNVGDhFEeTU,part_354,2026-09-20 20:51:21,61034
Kalia varieties J J Market,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,3.8,,"Unnamed Road, Phase 1, Chhend Colony, Rourkela, Odisha 769015","Phase 1, Chhend Colony",22.2393663,84.8225365,ChIJNRCwnnAZIDoRsQUEWkz2Ars,https://www.google.com/maps/place/?q=place_id:ChIJNRCwnnAZIDoRsQUEWkz2Ars,part_354,2026-09-20 20:51:21,61035
TTC GROUP ROURKELA,Wholesale Market / Mandi,Market,Market,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,3.9,,"Madhusudan Nagar, Chhend Colony, Rourkela, Odisha 769015","Madhusudan Nagar, Chhend Colony",22.240107599999998,84.8275525,ChIJme39YGUZIDoR7kDdHjy1L4c,https://www.google.com/maps/place/?q=place_id:ChIJme39YGUZIDoR7kDdHjy1L4c,part_354,2026-09-20 20:51:21,61036
Ambagan market,Wholesale Market / Mandi,Clothing store,Clothing store,769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O",N/A,N/A,4.3,,"Ispat Gajapati Market, B/213, opposite Bombay Fashion, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.257621999999998,84.865342,ChIJazBrQQAdIDoRXb7jTEyEOpI,https://www.google.com/maps/place/?q=place_id:ChIJazBrQQAdIDoRXb7jTEyEOpI,part_354,2026-09-20 20:51:21,61037
